LEA Code,LEA Name,School Code,School Name,School Type,Ward,School Framework,Framework Weight,Framework Points Earned,Framework Points Possible,Framework STAR Score,Framework STAR Rating
001,District of Columbia Public Schools,466,School Without Walls High School,DCPS,2,High School,100,83.78,85,98.56,5
001,District of Columbia Public Schools,467,Dunbar High School,DCPS,5,High School,100,25.24,95,26.57,2
001,District of Columbia Public Schools,471,Duke Ellington School of the Arts,DCPS,2,High School,100,69.03,95,72.66,4
001,District of Columbia Public Schools,474,Washington Metropolitan High School,DCPS (Alternative),1,Alternative Framework,100,16.17,64.98,24.88,2
001,District of Columbia Public Schools,478,"Phelps Architecture, Construction and Engineering High School",DCPS,5,High School,100,38,85,44.7,3
001,District of Columbia Public Schools,884,Luke C. Moore High School,DCPS (Alternative),5,Alternative Framework,100,22.27,75.03,29.69,2
107,Bridges PCS,142,Bridges PCS,Charter,5,Elementary School with Pre-Kindergarten,100,30.05,100,30.05,2
108,Capital City PCS,1207,Capital City PCS - High School,Charter,4,High School,100,61.74,100,61.74,4
108,Capital City PCS,182,Capital City PCS - Middle School,Charter,4,Middle School,100,53.85,100,53.85,3
108,Capital City PCS,184,Capital City PCS - Lower School,Charter,4,Elementary School with Pre-Kindergarten,100,52.32,100,52.32,3
109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,Charter,7,Middle School,100,33.85,95,35.63,2
109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,Charter,7,High School,100,45.29,95,47.68,3
109,Cesar Chavez PCS for Public Policy,127,Cesar Chavez PCS for Public Policy - Chavez Prep,Charter,1,Middle School,100,40.21,100,40.21,3
109,Cesar Chavez PCS for Public Policy,153,Cesar Chavez PCS for Public Policy - Capitol Hill,Charter,6,High School,100,34.49,95,36.31,2
114,DC Bilingual PCS,199,DC Bilingual PCS,Charter,5,Elementary School with Pre-Kindergarten,100,64.96,100,64.96,4
115,DC Prep PCS,1110,DC Prep PCS - Benning Elementary School,Charter,7,Elementary School with Pre-Kindergarten,100,54.33,85,63.92,4
115,DC Prep PCS,130,DC Prep PCS - Edgewood Elementary School,Charter,5,Elementary School with Pre-Kindergarten,100,65.07,95,68.5,4
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,Charter,5,Elementary School without Pre-Kindergarten,45.42,47.48,95,49.98,3
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,Charter,5,Middle School,54.58,79.78,95,83.98,5
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,Charter,7,Elementary School without Pre-Kindergarten,46.05,40.66,95,42.8,3
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,Charter,7,Middle School,53.95,80.63,95,84.87,5
116,E.L. Haynes PCS,1138,E.L. Haynes PCS - High School,Charter,4,High School,100,55.47,100,55.47,3
116,E.L. Haynes PCS,1206,E.L. Haynes PCS - Elementary School,Charter,4,Elementary School with Pre-Kindergarten,100,68.38,100,68.38,4
116,E.L. Haynes PCS,146,E.L. Haynes PCS - Middle School,Charter,1,Middle School,100,48.87,100,48.87,3
117,Eagle Academy PCS,1125,Eagle Academy PCS - Capitol Riverfront,Charter,6,Elementary School with Pre-Kindergarten,100,25.76,85,30.3,2
117,Eagle Academy PCS,195,Eagle Academy PCS - Congress Heights,Charter,8,Elementary School with Pre-Kindergarten,100,15.2,95,16,1
118,Early Childhood Academy PCS,138,Early Childhood Academy PCS,Charter,8,Elementary School with Pre-Kindergarten,100,42.93,85,50.51,3
120,Friendship PCS,1124,Friendship PCS - Technology Preparatory Middle School,Charter,8,Middle School,100,29.36,95,30.91,2
120,Friendship PCS,113,Friendship PCS - Southeast Academy,Charter,8,Elementary School with Pre-Kindergarten,100,34.16,95,35.96,2
120,Friendship PCS,1164,Friendship PCS - Technology Preparatory High School,Charter,8,High School,100,53.72,95,56.55,3
120,Friendship PCS,186,Friendship PCS - Collegiate Academy,Charter,7,High School,100,32.8,95,34.52,2
120,Friendship PCS,268,Friendship PCS - Online,Charter,4,Elementary School without Pre-Kindergarten,50.34,49.07,85,57.73,3
120,Friendship PCS,268,Friendship PCS - Online,Charter,4,Middle School,49.66,47.91,85,56.36,3
120,Friendship PCS,269,Friendship PCS - Armstrong,Charter,5,Elementary School with Pre-Kindergarten,100,22.88,95,24.08,2
120,Friendship PCS,361,Friendship PCS - Blow Pierce Elementary School,Charter,7,Elementary School with Pre-Kindergarten,100,34.71,95,36.54,2
120,Friendship PCS,362,Friendship PCS - Blow Pierce Middle School,Charter,7,Elementary School without Pre-Kindergarten,52.3,31.3,95,32.95,2
120,Friendship PCS,362,Friendship PCS - Blow Pierce Middle School,Charter,7,Middle School,47.7,67.11,95,70.64,4
120,Friendship PCS,363,Friendship PCS - Chamberlain Elementary School,Charter,6,Elementary School with Pre-Kindergarten,100,45.1,85,53.06,3
120,Friendship PCS,364,Friendship PCS - Chamberlain Middle School,Charter,6,Elementary School without Pre-Kindergarten,40.08,37.51,95,39.48,2
120,Friendship PCS,364,Friendship PCS - Chamberlain Middle School,Charter,6,Middle School,59.92,61.11,95,64.33,4
120,Friendship PCS,365,Friendship PCS - Woodridge Elementary School,Charter,5,Elementary School with Pre-Kindergarten,100,50.93,85,59.92,3
120,Friendship PCS,366,Friendship PCS - Woodridge Middle School,Charter,5,Elementary School without Pre-Kindergarten,41.02,69.93,95,73.61,4
120,Friendship PCS,366,Friendship PCS - Woodridge Middle School,Charter,5,Middle School,58.98,69.88,95,73.56,4
121,Hope Community PCS,114,Hope Community PCS - Tolson,Charter,5,Elementary School with Pre-Kindergarten,56.46,42.7,100,42.7,3
121,Hope Community PCS,114,Hope Community PCS - Tolson,Charter,5,Middle School,43.54,62.68,100,62.68,4
121,Hope Community PCS,131,Hope Community PCS - Lamond,Charter,4,Elementary School with Pre-Kindergarten,100,47.44,90,52.71,3
124,Howard University Middle School of Mathematics and Science PCS,115,Howard University Middle School of Mathematics and Science PCS,Charter,1,Middle School,100,32.81,95,34.53,2
125,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,Charter,5,Elementary School with Pre-Kindergarten,66.16,54.38,95,57.25,3
125,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,Charter,5,Middle School,33.84,49.46,95,52.06,3
126,IDEA PCS,163,IDEA PCS,Charter,7,High School,100,26.06,95,27.43,2
127,Ideal Academy PCS,134,Ideal Academy PCS,Charter,4,Elementary School with Pre-Kindergarten,62.74,5.72,85,6.74,1
127,Ideal Academy PCS,134,Ideal Academy PCS,Charter,4,Middle School,37.26,22.03,95,23.19,2
129,KIPP DC PCS,1121,KIPP DC - Promise Academy PCS,Charter,7,Elementary School without Pre-Kindergarten,100,71,95,74.74,4
129,KIPP DC PCS,1123,KIPP DC - College Preparatory Academy PCS,Charter,5,High School,100,54.32,95,57.18,3
129,KIPP DC PCS,116,KIPP DC - AIM Academy PCS,Charter,8,Middle School,100,43.59,95,45.89,3
129,KIPP DC PCS,121,KIPP DC - WILL Academy PCS,Charter,6,Middle School,100,56.26,95,59.22,3
129,KIPP DC PCS,189,KIPP DC - KEY Academy PCS,Charter,7,Middle School,100,47.64,95,50.15,3
129,KIPP DC PCS,190,KIPP DC - Lead Academy PCS,Charter,6,Elementary School without Pre-Kindergarten,100,72.75,95,76.58,4
129,KIPP DC PCS,214,KIPP DC - Spring Academy PCS,Charter,5,Elementary School without Pre-Kindergarten,100,51.13,95,53.82,3
129,KIPP DC PCS,237,KIPP DC - Quest Academy PCS,Charter,7,Elementary School without Pre-Kindergarten,100,59.93,95,63.08,4
129,KIPP DC PCS,242,KIPP DC - Northeast Academy PCS,Charter,5,Middle School,100,46.69,95,49.15,3
129,KIPP DC PCS,243,KIPP DC - Valor Academy PCS,Charter,7,Middle School,100,52.74,95,55.52,3
129,KIPP DC PCS,3071,KIPP DC - Heights Academy PCS,Charter,8,Elementary School without Pre-Kindergarten,100,62.92,95,66.23,4
130,Latin American Montessori Bilingual PCS,193,Latin American Montessori Bilingual PCS,Charter,4,Elementary School with Pre-Kindergarten,100,67.42,100,67.42,4
132,Mary McLeod Bethune Day Academy PCS,135,Mary McLeod Bethune Day Academy PCS,Charter,5,Elementary School with Pre-Kindergarten,60.43,47.36,85,55.72,3
132,Mary McLeod Bethune Day Academy PCS,135,Mary McLeod Bethune Day Academy PCS,Charter,5,Middle School,39.57,46.74,95,49.2,3
133,Maya Angelou PCS,101,Maya Angelou PCS - High School,Charter (Alternative),7,Alternative Framework,100,45.8,95,48.21,3
135,Meridian PCS,165,Meridian PCS,Charter,1,Elementary School with Pre-Kindergarten,62.17,53.79,100,53.79,3
135,Meridian PCS,165,Meridian PCS,Charter,1,Middle School,37.83,65.23,100,65.23,4
138,Paul PCS,170,Paul PCS - Middle School,Charter,4,Middle School,100,31.32,100,31.32,2
138,Paul PCS,222,Paul PCS - International High School,Charter,4,High School,100,49.23,100,49.23,3
140,Roots PCS,173,Roots PCS,Charter,4,Elementary School with Pre-Kindergarten,100,22.74,80,28.42,2
142,"SEED PCS of Washington, DC",174,SEED PCS of Washington DC,Charter,7,High School,25.91,47.97,85,56.44,3
142,"SEED PCS of Washington, DC",174,SEED PCS of Washington DC,Charter,7,Middle School,74.09,30.28,95,31.87,2
144,Elsie Whitlow Stokes Community Freedom PCS,159,Elsie Whitlow Stokes Community Freedom PCS,Charter,5,Elementary School with Pre-Kindergarten,100,49.75,100,49.75,3
146,Thurgood Marshall Academy PCS,191,Thurgood Marshall Academy PCS,Charter,8,High School,100,55.19,85,64.93,4
149,Two Rivers PCS,198,Two Rivers PCS - 4th St,Charter,6,Elementary School with Pre-Kindergarten,51.67,62.45,95,65.74,4
149,Two Rivers PCS,198,Two Rivers PCS - 4th St,Charter,6,Middle School,48.33,65.59,95,69.04,4
149,Two Rivers PCS,270,Two Rivers PCS - Young,Charter,5,Elementary School with Pre-Kindergarten,100,40.32,90,44.8,3
151,Washington Latin PCS,1118,Washington Latin PCS - Upper School,Charter,4,High School,100,86.35,95,90.89,5
151,Washington Latin PCS,125,Washington Latin PCS - Middle School,Charter,4,Middle School,100,74.54,100,74.54,4
152,Washington Mathematics Science Technology PCHS,178,Washington Mathematics Science Technology PCHS,Charter,5,High School,100,32.19,95,33.89,2
153,City Arts & Prep PCS,210,City Arts & Prep PCS,Charter,5,Elementary School with Pre-Kindergarten,62.03,29.74,85,34.99,2
153,City Arts & Prep PCS,210,City Arts & Prep PCS,Charter,5,Middle School,37.97,31.03,95,32.67,2
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,Charter,8,Elementary School without Pre-Kindergarten,41.58,19.62,95,20.65,2
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,Charter,8,Middle School,58.42,40.81,95,42.96,3
155,Achievement Preparatory Academy PCS,217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,Charter,8,Elementary School with Pre-Kindergarten,100,17.91,95,18.85,1
156,Center City PCS,1103,Center City PCS - Brightwood,Charter,4,Elementary School with Pre-Kindergarten,55.72,50.19,90,55.77,3
156,Center City PCS,1103,Center City PCS - Brightwood,Charter,4,Middle School,44.28,86.76,90,96.4,5
156,Center City PCS,1104,Center City PCS - Capitol Hill,Charter,6,Elementary School with Pre-Kindergarten,49.67,36.11,85,42.48,3
156,Center City PCS,1104,Center City PCS - Capitol Hill,Charter,6,Middle School,50.33,30.8,95,32.42,2
156,Center City PCS,1105,Center City PCS - Congress Heights,Charter,8,Elementary School with Pre-Kindergarten,50.61,52.47,85,61.73,4
156,Center City PCS,1105,Center City PCS - Congress Heights,Charter,8,Middle School,49.39,56.31,85,66.25,4
156,Center City PCS,1106,Center City PCS - Petworth,Charter,4,Elementary School with Pre-Kindergarten,50.88,51.12,100,51.12,3
156,Center City PCS,1106,Center City PCS - Petworth,Charter,4,Middle School,49.12,62.99,95,66.3,4
156,Center City PCS,1107,Center City PCS - Shaw,Charter,6,Elementary School with Pre-Kindergarten,49.3,34.8,90,38.67,2
156,Center City PCS,1107,Center City PCS - Shaw,Charter,6,Middle School,50.7,49.6,85,58.36,3
156,Center City PCS,1108,Center City PCS - Trinidad,Charter,5,Elementary School with Pre-Kindergarten,56.68,9.96,95,10.48,1
156,Center City PCS,1108,Center City PCS - Trinidad,Charter,5,Middle School,43.32,29.15,85,34.29,2
158,Excel Academy PCS,1113,Excel Academy PCS,Charter,8,Elementary School with Pre-Kindergarten,68.59,16.2,95,17.06,1
158,Excel Academy PCS,1113,Excel Academy PCS,Charter,8,Middle School,31.41,34.14,95,35.93,2
160,Washington Yu Ying PCS,1117,Washington Yu Ying PCS,Charter,5,Elementary School with Pre-Kindergarten,100,86.63,95,91.19,5
163,National Collegiate Preparatory PCHS,1120,National Collegiate Preparatory PCHS,Charter,8,High School,100,16.73,85,19.69,1
165,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,Charter,5,Elementary School with Pre-Kindergarten,71.54,62.95,95,66.26,4
165,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,Charter,5,Middle School,28.46,56.19,95,59.15,3
166,Shining Stars Montessori Academy PCS,3066,Shining Stars Montessori Academy PCS,Charter,5,Elementary School with Pre-Kindergarten,100,43.38,80,54.23,3
167,Richard Wright PCS for Journalism and Media Arts,3067,Richard Wright PCS for Journalism and Media Arts,Charter,6,High School,100,47.5,95,50,3
168,Basis DC PCS,3068,BASIS DC PCS,Charter,2,High School,13.68,79.46,80,99.32,5
168,Basis DC PCS,3068,BASIS DC PCS,Charter,2,Middle School,86.32,86.69,100,86.69,5
169,Creative Minds International PCS,3069,Creative Minds International PCS,Charter,5,Elementary School with Pre-Kindergarten,65.76,35.85,100,35.85,2
169,Creative Minds International PCS,3069,Creative Minds International PCS,Charter,5,Middle School,34.24,47.68,95,50.19,3
170,DC Scholars PCS,3070,DC Scholars PCS,Charter,7,Elementary School with Pre-Kindergarten,65.43,24.26,95,25.54,2
170,DC Scholars PCS,3070,DC Scholars PCS,Charter,7,Middle School,34.57,22.7,95,23.89,2
171,Mundo Verde Bilingual PCS,3065,Mundo Verde Bilingual PCS,Charter,5,Elementary School with Pre-Kindergarten,100,67.22,100,67.22,4
173,Ingenuity Prep PCS,200,Ingenuity Prep PCS,Charter,8,Elementary School with Pre-Kindergarten,100,42.94,95,45.2,3
174,Sela PCS,197,Sela PCS,Charter,4,Elementary School with Pre-Kindergarten,100,50.62,80,63.27,4
175,Somerset Preparatory Academy PCS,187,Somerset Preparatory Academy PCS,Charter,8,High School,25.22,36.91,85,43.43,3
175,Somerset Preparatory Academy PCS,187,Somerset Preparatory Academy PCS,Charter,8,Middle School,74.78,21.13,95,22.25,2
177,Lee Montessori PCS,228,Lee Montessori PCS,Charter,5,Elementary School with Pre-Kindergarten,100,41.56,75,55.42,3
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,Charter,8,Elementary School with Pre-Kindergarten,61.06,9.23,95,9.71,1
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,Charter,8,Middle School,38.94,10.11,95,10.64,1
180,Harmony DC PCS,245,Harmony DC PCS - School of Excellence,Charter,5,Elementary School without Pre-Kindergarten,100,46.75,85,55,3
181,District of Columbia International School,248,District of Columbia International School,Charter,4,High School,11.08,66.74,95,70.25,4
181,District of Columbia International School,248,District of Columbia International School,Charter,4,Middle School,88.92,68.02,100,68.02,4
184,Monument Academy PCS,260,Monument Academy PCS,Charter (Alternative),6,Alternative Framework,100,28.79,95,30.31,2
185,Washington Global PCS,263,Washington Global PCS,Charter,6,Middle School,100,32.87,95,34.6,2
186,Kingsman Academy PCS,267,Kingsman Academy PCS,Charter (Alternative),6,Alternative Framework,100,24.64,95,25.94,2
188,The Children's Guild DC PCS,255,The Children's Guild PCS,Charter (Alternative),5,Alternative Framework,100,22.24,95,23.41,2
191,Rocketship DC PCS,286,Rocketship DC PCS - Rise Academy,Charter,8,Elementary School with Pre-Kindergarten,100,43.12,95,45.39,3
194,Washington Leadership Academy PCS,283,Washington Leadership Academy PCS,Charter,5,High School,100,72.19,85,84.93,5